marker,comparison,reference,n_comparison,n_reference,mean_sample_median_comparison,mean_sample_median_reference,difference_fluorescence,all_sample_sd,difference_mean_z,p_exact,p_holm_45,q_bh_45,stars,displayed_significance
CXCR4,N+IF,N,6,6,11257.474432593872,2897.108725485008,8360.365707108864,2918.8284141382383,2.8642881735058063,0.0021645021645021,0.0974025974025974,0.0074925074925074,**,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+IF,N+NF,6,5,11257.474432593872,5321.922098225865,5935.552334368007,2918.8284141382383,2.0335393151640377,0.0043290043290043,0.1385281385281385,0.0092764378478664,**,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+FK,N,6,6,2771.737950836814,2897.108725485008,-125.37077464819367,2918.8284141382383,-0.0429524305166148,0.4415584415584415,1.0,0.5228981544771018,,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+ATN,N,6,6,4807.633237728802,2897.108725485008,1910.524512243794,2918.8284141382383,0.6545518410707475,0.0021645021645021,0.0974025974025974,0.0074925074925074,**,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+IF+FK,N+IF,6,6,8085.33442729252,11257.474432593872,-3172.140005301352,2918.8284141382383,-1.0867853656405844,0.0216450216450216,0.3679653679653679,0.0324675324675324,*,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+IF+ATN,N+IF,6,6,4997.218961552403,11257.474432593872,-6260.255471041469,2918.8284141382383,-2.1447836538516643,0.0021645021645021,0.0974025974025974,0.0074925074925074,**,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+IF+ATN+FK,N+IF,6,6,4950.91311505988,11257.474432593872,-6306.561317533992,2918.8284141382383,-2.160648185753652,0.0021645021645021,0.0974025974025974,0.0074925074925074,**,BH FDR-adjusted exact permutation P across all 45 tests
CXCR4,N+IF+ATN+FK,N+IF+FK,6,6,4950.91311505988,8085.33442729252,-3134.42131223264,2918.8284141382383,-1.073862820113067,0.0021645021645021,0.0974025974025974,0.0074925074925074,**,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+NF,N,5,6,39.08697918036405,629.1666012624156,-590.0796220820515,1221.9845638761697,-0.4828863142184891,0.0129870129870129,0.2597402597402597,0.0224775224775224,*,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+IF,N,6,6,3162.235253063038,629.1666012624156,2533.0686518006223,1221.9845638761697,2.07291378850618,0.0086580086580086,0.1904761904761904,0.0155844155844155,*,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+IF,N+NF,6,5,3162.235253063038,39.08697918036405,3123.148273882674,1221.9845638761697,2.555800102724669,0.0043290043290043,0.1385281385281385,0.0092764378478664,**,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+FK,N,6,6,397.9577525311656,629.1666012624156,-231.20884873125004,1221.9845638761697,-0.189207667237505,0.487012987012987,1.0,0.5478896103896104,,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+ATN,N,6,6,-68.45499313176063,629.1666012624156,-697.6215943941762,1221.9845638761697,-0.5708923132230908,0.0086580086580086,0.1904761904761904,0.0155844155844155,*,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+IF+FK,N+IF,6,6,1611.0919836487544,3162.235253063038,-1551.1432694142834,1221.9845638761697,-1.2693640453967872,0.0476190476190476,0.6666666666666666,0.0649350649350649,,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+IF+ATN,N+IF,6,6,562.224298815706,3162.235253063038,-2600.010954247332,1221.9845638761697,-2.1276954153987213,0.0064935064935064,0.1558441558441558,0.01270468661773,*,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+IF+ATN+FK,N+IF,6,6,499.2562653023122,3162.235253063038,-2662.978987760725,1221.9845638761697,-2.179224735305723,0.0043290043290043,0.1385281385281385,0.0092764378478664,**,BH FDR-adjusted exact permutation P across all 45 tests
MPO,N+IF+ATN+FK,N+IF+FK,6,6,499.2562653023122,1611.0919836487544,-1111.8357183464425,1221.9845638761697,-0.9098606899089362,0.0303030303030303,0.4545454545454546,0.0439882697947214,*,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+NF,N,5,6,10474.930309672354,7531.9345058237695,2942.9958038485847,2058.75344495979,1.4295037664920895,0.0216450216450216,0.3679653679653679,0.0324675324675324,*,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+IF,N,6,6,6628.073969562698,7531.9345058237695,-903.8605362610716,2058.75344495979,-0.4390329198835779,0.2792207792207792,1.0,0.349025974025974,,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+IF,N+NF,6,5,6628.073969562698,10474.930309672354,-3846.856340109656,2058.75344495979,-1.868536686375668,0.0043290043290043,0.1385281385281385,0.0092764378478664,**,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+FK,N,6,6,8504.154333870389,7531.9345058237695,972.2198280466192,2058.75344495979,0.472237134770457,0.4632034632034632,1.0,0.5344655344655345,,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+ATN,N,6,6,10074.65505150563,7531.9345058237695,2542.72054568186,2058.75344495979,1.2350777369222676,0.0151515151515151,0.2878787878787879,0.0243506493506493,*,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+IF+FK,N+IF,6,6,7735.993079938135,6628.073969562698,1107.9191103754374,2058.75344495979,0.5381504585154812,0.0476190476190476,0.6666666666666666,0.0649350649350649,,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+IF+ATN,N+IF,6,6,10677.633944570563,6628.073969562698,4049.5599750078673,2058.75344495979,1.9669960892703984,0.0021645021645021,0.0974025974025974,0.0074925074925074,**,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+IF+ATN+FK,N+IF,6,6,9806.830679509789,6628.073969562698,3178.7567099470907,2058.75344495979,1.5440201048499886,0.0021645021645021,0.0974025974025974,0.0074925074925074,**,BH FDR-adjusted exact permutation P across all 45 tests
MX1,N+IF+ATN+FK,N+IF+FK,6,6,9806.830679509789,7735.993079938135,2070.8375995716533,2058.75344495979,1.0058696463345076,0.0151515151515151,0.2878787878787879,0.0243506493506493,*,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+NF,N,5,6,16147.77899438916,13911.90866236299,2235.87033202617,6093.05533707464,0.3669538857494838,0.3636363636363636,1.0,0.4422604422604422,,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+IF,N,6,6,3269.8245736947406,13911.90866236299,-10642.084088668247,6093.05533707464,-1.7465923908345236,0.0021645021645021,0.0974025974025974,0.0074925074925074,**,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+IF,N+NF,6,5,3269.8245736947406,16147.77899438916,-12877.95442069442,6093.05533707464,-2.113546276584007,0.0043290043290043,0.1385281385281385,0.0092764378478664,**,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+FK,N,6,6,14712.963338130075,13911.90866236299,801.0546757670854,6093.05533707464,0.1314701133424602,0.7359307359307359,1.0,0.7884972170686456,,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+ATN,N,6,6,16458.96493968758,13911.90866236299,2547.056277324589,6093.05533707464,0.4180261193142989,0.2489177489177489,1.0,0.3200371057513915,,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+IF+FK,N+IF,6,6,3989.596653193168,3269.8245736947406,719.772079498427,6093.05533707464,0.1181299101484936,0.145021645021645,1.0,0.1919404125286478,,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+IF+ATN,N+IF,6,6,17377.35542485798,3269.8245736947406,14107.530851163236,6093.05533707464,2.315345925930234,0.0021645021645021,0.0974025974025974,0.0074925074925074,**,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+IF+ATN+FK,N+IF,6,6,15883.174943819686,3269.8245736947406,12613.350370124945,6093.05533707464,2.0701191228932427,0.0021645021645021,0.0974025974025974,0.0074925074925074,**,BH FDR-adjusted exact permutation P across all 45 tests
PADI4,N+IF+ATN+FK,N+IF+FK,6,6,15883.174943819686,3989.596653193168,11893.578290626518,6093.05533707464,1.951989212744749,0.0021645021645021,0.0974025974025974,0.0074925074925074,**,BH FDR-adjusted exact permutation P across all 45 tests
